rede;barra;vnom_kv;utm_x;utm_y;rede_id;barra_id;
CAI  0102;B_132;1.38E+001;-466321505;-235298614;3269;3200;
CAI  0102;B_131;1.38E+001;-466320688;-235295823;3269;3201;
CAI  0102;B_130;1.38E+001;-466321851;-235300447;3269;3202;
CAI  0102;B_129;1.38E+001;-466322649;-235302975;3269;3203;
CAI  0102;B_128;1.38E+001;-466326620;-235315559;3269;3204;
CAI  0102;B_127;1.38E+001;-466325840;-235312843;3269;3205;
CAI  0102;B_126;1.38E+001;-466325157;-235310597;3269;3206;
CAI  0102;B_125;1.38E+001;-466324380;-235308285;3269;3207;
CAI  0102;B_124;1.38E+001;-466323359;-235305045;3269;3208;
CAI  0102;B_123;1.38E+001;-466327616;-235320100;3269;3209;
CAI  0102;B_122;1.38E+001;-466326658;-235315692;3269;3210;
CAI  0102;B_121;1.38E+001;-466327342;-235318187;3269;3211;
CAI  0102;B_120;1.38E+001;-466327647;-235319448;3269;3212;
CAI  0102;B_119;1.38E+001;-466327648;-235319450;3269;3213;
CAI;CAI.AT0;8.80E+001;-466229008;-235232325;3273;3259;
CAI  0102;B_1656;1.38E+001;-466331258;-235323802;3269;3260;
CAI  0103;B_1625;1.38E+001;-466245443;-235255109;3270;3264;
CAI  0103;B_1318;1.38E+001;-466272699;-235286881;3270;2777;
CAI  0103;B_1317;1.38E+001;-466273932;-235284359;3270;2778;
CAI  0103;B_1316;1.38E+001;-466273941;-235284341;3270;2779;
CAI  0103;B_1315;1.38E+001;-466275313;-235281488;3270;2780;
CAI  0103;B_1314;1.38E+001;-466275469;-235281164;3270;2781;
CAI  0103;B_1313;1.38E+001;-466237730;-235294472;3270;2782;
CAI  0103;B_1312;1.38E+001;-466237432;-235293591;3270;2783;
CAI  0103;B_1311;1.38E+001;-466237873;-235295395;3270;2784;
CAI  0103;B_1310;1.38E+001;-466237937;-235295373;3270;2785;
CAI  0103;B_1309;1.38E+001;-466275086;-235299581;3270;2786;
CAI  0103;B_1308;1.38E+001;-466271908;-235300474;3270;2787;
CAI  0103;B_1307;1.38E+001;-466271872;-235300484;3270;2788;
CAI  0103;B_1306;1.38E+001;-466272182;-235298721;3270;2789;
CAI  0103;B_1305;1.38E+001;-466271508;-235300086;3270;2790;
CAI  0103;B_1304;1.38E+001;-466271500;-235300104;3270;2791;
CAI  0103;B_1303;1.38E+001;-466257191;-235283994;3270;2792;
CAI  0103;B_1302;1.38E+001;-466257188;-235283974;3270;2793;
CAI  0103;B_1301;1.38E+001;-466257171;-235271114;3270;2794;
CAI  0103;B_1300;1.38E+001;-466257155;-235273129;3270;2795;
CAI  0103;B_1299;1.38E+001;-466263316;-235288425;3270;2796;
CAI  0103;B_1298;1.38E+001;-466262134;-235287986;3270;2797;
CAI  0103;B_1297;1.38E+001;-466260953;-235287456;3270;2798;
CAI  0103;B_1296;1.38E+001;-466258315;-235286319;3270;2799;
CAI  0103;B_1295;1.38E+001;-466258295;-235286311;3270;2800;
CAI  0103;B_1294;1.38E+001;-466285470;-235296660;3270;2801;
CAI  0103;B_1293;1.38E+001;-466285365;-235296692;3270;2802;
CAI  0103;B_1292;1.38E+001;-466283963;-235297065;3270;2803;
CAI  0103;B_1291;1.38E+001;-466222698;-235274581;3270;2804;
CAI  0103;B_1290;1.38E+001;-466223605;-235272540;3270;2805;
