
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
965      7,497          0   0,005802    0,07739  0,005001    0,0667
973      7,489          0   0,005852    0,07814  0,005007   0,06685
1044     7,504          0   0,006857    0,09137  0,006094   0,08121
2031     7,535          0   0,004877    0,06472   0,00314   0,04166
43       7,519          0   0,004074    0,05418  0,001525   0,02028
587      7,487          0   0,003914    0,05228  0,001024   0,01367
576      7,489          0   0,003917    0,05231  0,001088   0,01452
1174     7,485          0   0,005231    0,06989  0,004528    0,0605
1210     7,481          0   0,005301    0,07086  0,004695   0,06276
1189     7,484          0   0,005248    0,07012  0,004572    0,0611
2988     7,548          0   0,001836    0,02432 0,0008646   0,01145
2975     7,564          0   0,001495    0,01976  0,000698  0,009228
2782     7,573          0   0,002167    0,02861  0,002257    0,0298
2849      7,57          0   0,002212    0,02923  0,002346   0,03098
2846      7,57          0   0,002221    0,02934  0,002361   0,03119
2330     7,585          0   0,001815    0,02393  0,001933   0,02548
2321     7,586          0   0,001799    0,02371  0,001878   0,02476
2320     7,586          0   0,001799    0,02371  0,001878   0,02476
964      7,497          0   0,005802    0,07739  0,005001    0,0667
974      7,487          0   0,005852    0,07815  0,005007   0,06687
1043     7,504          0   0,006857    0,09137  0,006094   0,08121
1050     7,504          0   0,006942    0,09251  0,006193   0,08253
2030     7,535          0   0,004876    0,06471  0,003132   0,04157
44       7,519          0   0,004074    0,05418  0,001523   0,02026
586      7,487          0   0,003914    0,05227  0,001007   0,01345
575      7,489          0   0,003917    0,05231  0,001088   0,01452
1173     7,485          0   0,005233    0,06991  0,004529    0,0605
