
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"5525"   13.800          ( 6042978      , 8451506      )     No           3          1    2    3 
"5527"   13.800          ( 6043017      , 8451524      )     No           3          1    2    3 
"5751"   13.800          ( 6041965      , 8450158      )     No           3          1    2    3 
"6345"   13.800          ( 6039848      , 8453193      )     No           2          1    2 
"6347"   13.800          ( 6040082      , 8453119      )     No           2          1    2 
"6256"   13.800          ( 6039157      , 8452877      )     No           3          1    2    3 
"5532"   13.800          ( 6042734      , 8451189      )     No           3          1    2    3 
"5535"   13.800          ( 6043045      , 8451232      )     No           3          1    2    3 
"5526"   13.800          ( 6043020      , 8451525      )     No           3          1    2    3 
"5742"   13.800          ( 6041192      , 8450321      )     No           2          1    2 
"5743"   13.800          ( 6041039      , 8450288      )     No           2          1    2 
"5748"   13.800          ( 6041833      , 8450136      )     No           3          1    2    3 
"5749"   13.800          ( 6041833      , 8450139      )     No           3          1    2    3 
"5750"   13.800          ( 6042023      , 8450087      )     No           3          1    2    3 
"6344"   13.800          ( 6039772      , 8453255      )     No           2          1    2 
"6255"   13.800          ( 6039055      , 8452905      )     No           3          1    2    3 
"5531"   13.800          ( 6042733      , 8451188      )     No           3          1    2    3 
"5553"   13.800          ( 6043144      , 8451144      )     No           3          1    2    3 
"5744"   13.800          ( 6040904      , 8450252      )     No           2          1    2 
"5753"   13.800          ( 6042115      , 8449990      )     No           3          1    2    3 
"6343"   13.800          ( 6039667      , 8453341      )     No           2          1    2 
"6254"   13.800          ( 6038977      , 8452925      )     No           3          1    2    3 
"5555"   13.800          ( 6043313      , 8451100      )     No           3          1    2    3 
"5745"   13.800          ( 6040656      , 8450193      )     No           2          1    2 
"5752"   13.800          ( 6042189      , 8449907      )     No           3          1    2    3 
"6342"   13.800          ( 6039583      , 8453406      )     No           2          1    2 
"6237"   13.800          ( 6038866      , 8452957      )     No           3          1    2    3 
"5554"   13.800          ( 6043480      , 8451027      )     No           3          1    2    3 
"5438"   13.800          ( 6042209      , 8449878      )     No           3          1    2    3 
"6341"   13.800          ( 6039521      , 8453457      )     No           2          1    2 
"6253"   13.800          ( 6038741      , 8452989      )     No           3          1    2    3 
"5539"   13.800          ( 6043690      , 8450953      )     No           3          1    2    3 
"5746"   13.800          ( 6040605      , 8450180      )     No           2          1    2 
"5747"   13.800          ( 6040608      , 8450181      )     No           2          1    2 
"5439"   13.800          ( 6042290      , 8449791      )     No           3          1    2    3 
"6340"   13.800          ( 6039482      , 8453563      )     No           2          1    2 
"6252"   13.800          ( 6038574      , 8453008      )     No           3          1    2    3 
"5536"   13.800          ( 6043740      , 8450845      )     No           3          1    2    3 
"5754"   13.800          ( 6042185      , 8449847      )     No           3          1    2    3 
"5755"   13.800          ( 6042061      , 8449727      )     No           3          1    2    3 
"5440"   13.800          ( 6042340      , 8449741      )     No           3          1    2    3 
"6339"   13.800          ( 6039469      , 8453601      )     No           2          1    2 
"6003"   13.800          ( 6038477      , 8453022      )     No           3          1    2    3 
"5541"   13.800          ( 6043711      , 8450988      )     No           3          1    2    3 
"5540"   13.800          ( 6043718      , 8451089      )     No           3          1    2    3 
"5538"   13.800          ( 6043740      , 8450824      )     No           3          1    2    3 
"5756"   13.800          ( 6041926      , 8449594      )     No           3          1    2    3 
"5441"   13.800          ( 6042397      , 8449682      )     No           3          1    2    3 
"6250"   13.800          ( 6038566      , 8452948      )     No           3          1    2    3 
"6251"   13.800          ( 6038566      , 8452951      )     No           3          1    2    3 
"6002"   13.800          ( 6038341      , 8453034      )     No           3          1    2    3 
"5542"   13.800          ( 6043722      , 8451223      )     No           3          1    2    3 
"5547"   13.800          ( 6043755      , 8450725      )     No           3          1    2    3 
"5758"   13.800          ( 6041904      , 8449572      )     No           3          1    2    3 
"6001"   13.800          ( 6038211      , 8453045      )     No           3          1    2    3 
"5543"   13.800          ( 6043723      , 8451357      )     No           3          1    2    3 
"5546"   13.800          ( 6043769      , 8450647      )     No           3          1    2    3 
"5757"   13.800          ( 6041902      , 8449570      )     No           3          1    2    3 
"6335"   13.800          ( 6042530      , 8449628      )     No           3          1    2    3 
"6336"   13.800          ( 6042461      , 8449652      )     No           3          1    2    3 
"6249"   13.800          ( 6038161      , 8453058      )     No           3          1    2    3 
"5545"   13.800          ( 6043723      , 8451412      )     No           3          1    2    3 
"5548"   13.800          ( 6043801      , 8450468      )     No           3          1    2    3 
"6333"   13.800          ( 6042385      , 8449499      )     No           3          1    2    3 
"6334"   13.800          ( 6042440      , 8449616      )     No           3          1    2    3 
"5760"   13.800          ( 6042639      , 8449578      )     No           3          1    2    3 
"6248"   13.800          ( 6037973      , 8453036      )     No           3          1    2    3 
"5544"   13.800          ( 6043725      , 8451451      )     No           3          1    2    3 
"5550"   13.800          ( 6043764      , 8450338      )     No           3          1    2    3 
"6332"   13.800          ( 6042343      , 8449453      )     No           3          1    2    3 
"5442"   13.800          ( 6042449      , 8449591      )     No           2          1    2 
"5443"   13.800          ( 6042452      , 8449592      )     No           3          1    2    3 
"5759"   13.800          ( 6042684      , 8449481      )     No           3          1    2    3 
"6247"   13.800          ( 6037892      , 8453019      )     No           3          1    2    3 
"5537"   13.800          ( 6043725      , 8451454      )     No           3          1    2    3 
"5549"   13.800          ( 6043721      , 8450178      )     No           3          1    2    3 
"6331"   13.800          ( 6042313      , 8449355      )     No           3          1    2    3 
"5764"   13.800          ( 6042723      , 8449392      )     No           3          1    2    3 
"6240"   13.800          ( 6037805      , 8453010      )     No           3          1    2    3 
